tweet_id,retweets,favorites
892420643555336193,8169,37485
892177421306343426,6047,32230
891815181378084864,4001,24282
891689557279858688,8324,40823
891327558926688256,9016,39031
891087950875897856,2994,19619
890971913173991426,1984,11459
890729181411237888,18146,63224
890609185150312448,4110,26968
890240255349198849,7100,30915
890006608113172480,7055,29738
889880896479866881,4789,26986
889665388333682689,9655,46610
889638837579907072,4366,26276
889531135344209921,2168,14644
889278841981685760,5178,24469
888917238123831296,4341,28226
888804989199671297,4122,24783
888554962724278272,3400,19214
888078434458587136,3356,21082
887705289381826560,5177,29274
887517139158093824,11267,44895
887473957103951883,17475,66796
887343217045368832,10039,32632
887101392804085760,5731,29635
886983233522544640,7462,34012
886736880519319552,3138,11650
886680336477933568,4293,21752
886366144734445568,3082,20512
886267009285017600,4,116
886258384151887873,6074,27124
886054160059072513,105,0
885984800019947520,6526,31611
885528943205470208,6183,34883
885518971528720385,3608,19817
885311592912609280,17855,0
885167619883638784,4222,21236
884925521741709313,17553,74959
884876753390489601,5411,27040
884562892145688576,4512,23538
884441805382717440,5464,26185
884247878851493888,19772,70696
884162670584377345,2875,19745
883838122936631299,3322,21202
883482846933004288,9551,44506
883360690899218434,3577,21992
883117836046086144,6420,36007
882992080364220416,3778,23197
882762694511734784,4723,27412
882627270321602560,5871,27077
882268110199369728,11181,43543
882045870035918850,4767,28434
881906580714921986,3277,23576
881666595344535552,10302,49085
881633300179243008,7,122
881536004380872706,15391,47911
881268444196462592,5008,22438
880935762899988482,2688,16523
880872448815771648,3690,20630
880465832366813184,6047,27660
880221127280381952,4070,26203
880095782870896641,4184,26794
879862464715927552,3378,21664
879674319642796034,10,301
879492040517615616,3072,22736
879415818425184262,42763,102640
879376492567855104,3012,16305
879130579576475649,6575,0
879050749262655488,4542,21858
879008229531029506,2602,18387
878776093423087618,3985,18831
878604707211726852,6950,29300
878404777348136964,1244,0
878316110768087041,6422,0
878281511006478336,1244,7507
878057613040115712,6575,40814
877736472329191424,18451,77287
877611172832227328,78,0
877556246731214848,3676,22053
877316821321428993,5027,26595
877201837425926144,5407,26336
876838120628539392,3230,20095
876537666061221889,4491,22874
876484053909872640,2313,18224
876120275196170240,4522,27148
875747767867523072,4149,24467
875144289856114688,4780,21318
875097192612077568,5869,26631
875021211251597312,4577,24756
874680097055178752,4504,27044
874434818259525634,14247,0
874296783580663808,3993,25343
874057562936811520,3835,22083
874012996292530176,10092,33571
873580283840344065,3821,23554
873337748698140672,1541,0
873213775632977920,1541,7032
872967104147763200,5272,26577
872820683541237760,3605,14333
872620804844003328,3585,20220
872486979161796608,8781,39669
872122724285648897,7929,33527
871879754684805121,10865,36929
871762521631449091,3397,19766
871515927908634625,3371,19700
871166179821445120,5558,0
871102520638267392,5387,20432
871032628920680449,3732,22159
870804317367881728,6052,32844
870726314365509632,3,118
870656317836468226,2591,12123
870374049280663552,25696,80926
870308999962521604,4066,21388
870063196459192321,8177,35824
869772420881756160,9838,41552
869702957897576449,6224,27666
869596645499047938,3079,15658
869227993411051520,3723,20049
868880397819494401,14217,64241
868639477480148993,2053,0
868622495443632128,5215,26218
868552278524837888,2053,9923
867900495410671616,4115,23772
867774946302451713,7242,33366
867421006826221569,2459,15838
867072653475098625,119,0
867051520902168576,7755,31708
866720684873056260,4748,19718
866686824827068416,3433,18972
866450705531457537,34877,120293
866334964761202691,14247,51690
866094527597207552,8273,0
865718153858494464,5566,25259
865359393868664832,4957,26083
865006731092295680,7613,27607
864873206498414592,8640,31832
864279568663928832,3001,14411
864197398364647424,8852,29721
863907417377173506,4097,20373
863553081350529029,4150,15133
863471782782697472,2423,0
863432100342583297,5198,23521
863427515083354112,96,2220
863079547188785154,1095,8666
863062471531167744,2423,8411
862831371563274240,5078,18974
862722525377298433,3506,16898
862457590147678208,4935,20296
862096992088072192,23144,73687
861383897657036800,10661,35783
861288531465048066,4144,17038
861005113778896900,3789,16577
860981674716409858,2154,0
860924035999428608,814,0
860563773140209665,2154,7455
860524505164394496,5274,23426
860276583193509888,3475,18183
860184849394610176,5851,16550
860177593139703809,30892,0
859924526012018688,4080,19433
859851578198683649,3516,15309
859607811541651456,1575,18474
859196978902773760,30275,89463
859074603037188101,13667,33697
858860390427611136,8169,0
858843525470990336,3498,15474
858471635011153920,4855,21426
858107933456039936,2915,15665
857989990357356544,2602,16075
857746408056729600,10711,34176
857393404942143489,1657,5894
857263160327368704,4551,19984
857214891891077121,18,227
857062103051644929,171,0
857029823797047296,4045,18925
856543823941562368,2912,16264
856526610513747968,1906,11856
856330835276025856,682,0
856288084350160898,17,518
